{'id': 74, 'label': '502014163468', 'max_pred': '3520414112622161', 'max_ratio': 0.5714285714285714, 'matches': 0}
{'id': 16, 'label': '3560648870916626', 'max_pred': '3560895614964272', 'max_ratio': 0.5625, 'matches': 0}
{'id': 34, 'label': '3581473142512029', 'max_pred': '3521415021502150', 'max_ratio': 0.5625, 'matches': 0}
{'id': 64, 'label': '3521475680566823', 'max_pred': '3520414115626256', 'max_ratio': 0.5625, 'matches': 0}
{'id': 70, 'label': '3534174344152709', 'max_pred': '3521415035214150', 'max_ratio': 0.5625, 'matches': 0}
{'id': 93, 'label': '30548478565643', 'max_pred': '3520841112628556', 'max_ratio': 0.5333333333333333, 'matches': 0}
{'id': 31, 'label': '375164258582684', 'max_pred': '3521185028926211', 'max_ratio': 0.5161290322580645, 'matches': 0}
{'id': 62, 'label': '4293223474294312629', 'max_pred': '3521444514112621', 'max_ratio': 0.5142857142857142, 'matches': 0}
{'id': 0, 'label': '3525609767017203', 'max_pred': '3520895729886224', 'max_ratio': 0.5, 'matches': 0}
{'id': 30, 'label': '6011486064635225', 'max_pred': '3521184521652165', 'max_ratio': 0.5, 'matches': 0}
{'id': 37, 'label': '3561435212503000', 'max_pred': '3520414112628550', 'max_ratio': 0.5, 'matches': 0}
{'id': 38, 'label': '3509555729814114', 'max_pred': '3521415035214150', 'max_ratio': 0.5, 'matches': 0}
{'id': 53, 'label': '501869028164', 'max_pred': '3521184622621262', 'max_ratio': 0.5, 'matches': 0}
{'id': 87, 'label': '4505119144952074', 'max_pred': '3560895614964271', 'max_ratio': 0.5, 'matches': 0}
{'id': 90, 'label': '4138571586470251', 'max_pred': '3521415121512151', 'max_ratio': 0.5, 'matches': 0}
{'id': 92, 'label': '4054310325689560', 'max_pred': '3521415035214150', 'max_ratio': 0.5, 'matches': 0}
{'id': 95, 'label': '2232244527581169', 'max_pred': '3521415121512151', 'max_ratio': 0.5, 'matches': 0}
{'id': 57, 'label': '4685212206910', 'max_pred': '3520414112626250', 'max_ratio': 0.48275862068965514, 'matches': 0}
{'id': 12, 'label': '180002373245560', 'max_pred': '3521415035214150', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 19, 'label': '374576962029077', 'max_pred': '3560895614966271', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 24, 'label': '213185011695972', 'max_pred': '3560895614964271', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 27, 'label': '346902906220058', 'max_pred': '3521165489760586', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 50, 'label': '213173729840924', 'max_pred': '3521415421542154', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 80, 'label': '378218083165854', 'max_pred': '3520414112628550', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 1, 'label': '6553751007408996', 'max_pred': '3560895614964271', 'max_ratio': 0.4375, 'matches': 0}
{'id': 17, 'label': '3545600715427384', 'max_pred': '3521415121512151', 'max_ratio': 0.4375, 'matches': 0}
{'id': 22, 'label': '2715501318705059', 'max_pred': '3521415121512151', 'max_ratio': 0.4375, 'matches': 0}
{'id': 23, 'label': '3518243454487278', 'max_pred': '3520414115626256', 'max_ratio': 0.4375, 'matches': 0}
{'id': 61, 'label': '5252498748675311', 'max_pred': '3521444514112621', 'max_ratio': 0.4375, 'matches': 0}
{'id': 69, 'label': '2251497949601272', 'max_pred': '3521444514526250', 'max_ratio': 0.4375, 'matches': 0}
{'id': 86, 'label': '3574758305846894', 'max_pred': '3521415035214150', 'max_ratio': 0.4375, 'matches': 0}
{'id': 3, 'label': '565574485290', 'max_pred': '3560895614968271', 'max_ratio': 0.4285714285714286, 'matches': 0}
Total matches: 0
[0.5, 0.4375, 0.3870967741935484, 0.4285714285714286, 0.4, 0.33333333333333337, 0.375, 0.4, 0.27586206896551724, 0.25, 0.4285714285714286, 0.3448275862068966, 0.4516129032258065, 0.22857142857142854, 0.3125, 0.3870967741935484, 0.5625, 0.4375, 0.3571428571428571, 0.4516129032258065, 0.2857142857142857, 0.3870967741935484, 0.4375, 0.4375, 0.4516129032258065, 0.25, 0.375, 0.4516129032258065, 0.3125, 0.2142857142857143, 0.5, 0.5161290322580645, 0.375, 0.375, 0.5625, 0.2142857142857143, 0.4, 0.5, 0.5, 0.25, 0.2857142857142857, 0.2857142857142857, 0.3125, 0.375, 0.375, 0.2857142857142857, 0.3125, 0.4, 0.3125, 0.3571428571428571, 0.4516129032258065, 0.25, 0.3571428571428571, 0.5, 0.3125, 0.27586206896551724, 0.4285714285714286, 0.48275862068965514, 0.3125, 0.33333333333333337, 0.3125, 0.4375, 0.5142857142857142, 0.4, 0.5625, 0.27586206896551724, 0.3125, 0.3870967741935484, 0.375, 0.4375, 0.5625, 0.4, 0.375, 0.4137931034482759, 0.5714285714285714, 0.33333333333333337, 0.3448275862068966, 0.4, 0.3125, 0.3571428571428571, 0.4516129032258065, 0.33333333333333337, 0.4285714285714286, 0.3125, 0.25, 0.2142857142857143, 0.4375, 0.5, 0.34285714285714286, 0.3571428571428571, 0.5, 0.34285714285714286, 0.5, 0.5333333333333333, 0.3125, 0.5, 0.375, 0.375, 0.4, 0.375]
