{'id': 2, 'label': '371511505520350', 'max_pred': '3555500000000000', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 0, 'label': '3525609767017203', 'max_pred': '3555500000000000', 'max_ratio': 0.375, 'matches': 0}
{'id': 1, 'label': '6553751007408996', 'max_pred': '3555500000000000', 'max_ratio': 0.375, 'matches': 0}
{'id': 3, 'label': '565574485290', 'max_pred': '3555500000000000', 'max_ratio': 0.3571428571428571, 'matches': 0}
{'id': 15, 'label': '345734524059803', 'max_pred': '3555500000000000', 'max_ratio': 0.32258064516129037, 'matches': 0}
{'id': 27, 'label': '346902906220058', 'max_pred': '3555500000000000', 'max_ratio': 0.32258064516129037, 'matches': 0}
{'id': 17, 'label': '3545600715427384', 'max_pred': '3555500000000000', 'max_ratio': 0.3125, 'matches': 0}
{'id': 22, 'label': '2715501318705059', 'max_pred': '3555500000000000', 'max_ratio': 0.3125, 'matches': 0}
{'id': 26, 'label': '2275170284006520', 'max_pred': '3555500000000000', 'max_ratio': 0.3125, 'matches': 0}
{'id': 4, 'label': '4296451375806606570', 'max_pred': '3555500000000000', 'max_ratio': 0.2857142857142857, 'matches': 0}
{'id': 10, 'label': '503850402168', 'max_pred': '3555500000000000', 'max_ratio': 0.2857142857142857, 'matches': 0}
{'id': 5, 'label': '30173407970341', 'max_pred': '3555500000000000', 'max_ratio': 0.2666666666666667, 'matches': 0}
{'id': 8, 'label': '213116050190443', 'max_pred': '3555500000000000', 'max_ratio': 0.25806451612903225, 'matches': 0}
{'id': 12, 'label': '180002373245560', 'max_pred': '3555500000000000', 'max_ratio': 0.25806451612903225, 'matches': 0}
{'id': 19, 'label': '374576962029077', 'max_pred': '3555550000000000', 'max_ratio': 0.25806451612903225, 'matches': 0}
{'id': 31, 'label': '375164258582684', 'max_pred': '3555500000000000', 'max_ratio': 0.25806451612903225, 'matches': 0}
{'id': 6, 'label': '2255439101448510', 'max_pred': '3555500000000000', 'max_ratio': 0.25, 'matches': 0}
{'id': 14, 'label': '3536599271908954', 'max_pred': '3555500000000000', 'max_ratio': 0.25, 'matches': 0}
{'id': 16, 'label': '3560648870916626', 'max_pred': '3555500000000000', 'max_ratio': 0.25, 'matches': 0}
{'id': 18, 'label': '501840494386', 'max_pred': '3555500000000000', 'max_ratio': 0.2142857142857143, 'matches': 0}
{'id': 24, 'label': '213185011695972', 'max_pred': '3555500000000000', 'max_ratio': 0.19354838709677424, 'matches': 0}
{'id': 9, 'label': '6576337390603121', 'max_pred': '3555500000000000', 'max_ratio': 0.1875, 'matches': 0}
{'id': 23, 'label': '3518243454487278', 'max_pred': '3555550000000000', 'max_ratio': 0.1875, 'matches': 0}
{'id': 25, 'label': '2307599449762076', 'max_pred': '3555500000000000', 'max_ratio': 0.1875, 'matches': 0}
{'id': 28, 'label': '5569516637636371', 'max_pred': '3555500000000000', 'max_ratio': 0.1875, 'matches': 0}
{'id': 30, 'label': '6011486064635225', 'max_pred': '3555500000000000', 'max_ratio': 0.1875, 'matches': 0}
{'id': 20, 'label': '4644888553620829651', 'max_pred': '3555500000000000', 'max_ratio': 0.17142857142857137, 'matches': 0}
{'id': 29, 'label': '639066617973', 'max_pred': '3555500000000000', 'max_ratio': 0.1428571428571429, 'matches': 0}
{'id': 11, 'label': '4334448647536', 'max_pred': '3555500000000000', 'max_ratio': 0.13793103448275867, 'matches': 0}
{'id': 7, 'label': '30592211669726', 'max_pred': '3555500000000000', 'max_ratio': 0.1333333333333333, 'matches': 0}
{'id': 21, 'label': '213132716644657', 'max_pred': '3555500000000000', 'max_ratio': 0.12903225806451613, 'matches': 0}
{'id': 13, 'label': '4886016419538433188', 'max_pred': '3555500000000000', 'max_ratio': 0.05714285714285716, 'matches': 0}
Total matches: 0
[0.375, 0.375, 0.4516129032258065, 0.3571428571428571, 0.2857142857142857, 0.2666666666666667, 0.25, 0.1333333333333333, 0.25806451612903225, 0.1875, 0.2857142857142857, 0.13793103448275867, 0.25806451612903225, 0.05714285714285716, 0.25, 0.32258064516129037, 0.25, 0.3125, 0.2142857142857143, 0.25806451612903225, 0.17142857142857137, 0.12903225806451613, 0.3125, 0.1875, 0.19354838709677424, 0.1875, 0.3125, 0.32258064516129037, 0.1875, 0.1428571428571429, 0.1875, 0.25806451612903225]
