{'id': 70, 'label': '3534174344152709', 'max_pred': '3531441250213604', 'max_ratio': 0.625, 'matches': 0}
{'id': 31, 'label': '375164258582684', 'max_pred': '3521475820368613', 'max_ratio': 0.5806451612903225, 'matches': 0}
{'id': 3, 'label': '565574485290', 'max_pred': '3561044875318520', 'max_ratio': 0.5714285714285714, 'matches': 0}
{'id': 77, 'label': '30546925067742', 'max_pred': '30547638297662', 'max_ratio': 0.5714285714285714, 'matches': 0}
{'id': 6, 'label': '2255439101448510', 'max_pred': '3531441824418520', 'max_ratio': 0.5625, 'matches': 0}
{'id': 32, 'label': '3561001575175941', 'max_pred': '3561044575203586', 'max_ratio': 0.5625, 'matches': 0}
{'id': 15, 'label': '345734524059803', 'max_pred': '3531441250213604', 'max_ratio': 0.5161290322580645, 'matches': 0}
{'id': 19, 'label': '374576962029077', 'max_pred': '3561029175268721', 'max_ratio': 0.5161290322580645, 'matches': 0}
{'id': 36, 'label': '4641741725325731662', 'max_pred': '3561014175203586', 'max_ratio': 0.5142857142857142, 'matches': 0}
{'id': 10, 'label': '503850402168', 'max_pred': '3561045525638028', 'max_ratio': 0.5, 'matches': 0}
{'id': 14, 'label': '3536599271908954', 'max_pred': '3531441250213604', 'max_ratio': 0.5, 'matches': 0}
{'id': 16, 'label': '3560648870916626', 'max_pred': '3561044855425516', 'max_ratio': 0.5, 'matches': 0}
{'id': 23, 'label': '3518243454487278', 'max_pred': '3561044855425516', 'max_ratio': 0.5, 'matches': 0}
{'id': 26, 'label': '2275170284006520', 'max_pred': '3561045521648520', 'max_ratio': 0.5, 'matches': 0}
{'id': 40, 'label': '503850592760', 'max_pred': '3531441250213604', 'max_ratio': 0.5, 'matches': 0}
{'id': 72, 'label': '6565911872108677', 'max_pred': '3561015212648560', 'max_ratio': 0.5, 'matches': 0}
{'id': 97, 'label': '6011429216878269', 'max_pred': '3561045521648520', 'max_ratio': 0.5, 'matches': 0}
{'id': 11, 'label': '4334448647536', 'max_pred': '3531441250213604', 'max_ratio': 0.48275862068965514, 'matches': 0}
{'id': 63, 'label': '30085327573437', 'max_pred': '3531441250213604', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 75, 'label': '30505794301780', 'max_pred': '3531446353524018', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 93, 'label': '30548478565643', 'max_pred': '3561045525638028', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 82, 'label': '060441560434', 'max_pred': '30087445519621', 'max_ratio': 0.46153846153846156, 'matches': 0}
{'id': 12, 'label': '180002373245560', 'max_pred': '3531448654499560', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 27, 'label': '346902906220058', 'max_pred': '3561044721652680', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 50, 'label': '213173729840924', 'max_pred': '3561044721672580', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 0, 'label': '3525609767017203', 'max_pred': '3531446341672580', 'max_ratio': 0.4375, 'matches': 0}
{'id': 17, 'label': '3545600715427384', 'max_pred': '3531441220312825', 'max_ratio': 0.4375, 'matches': 0}
{'id': 22, 'label': '2715501318705059', 'max_pred': '3531444854035224', 'max_ratio': 0.4375, 'matches': 0}
{'id': 25, 'label': '2307599449762076', 'max_pred': '3531448654499560', 'max_ratio': 0.4375, 'matches': 0}
{'id': 30, 'label': '6011486064635225', 'max_pred': '3531448654786895', 'max_ratio': 0.4375, 'matches': 0}
{'id': 34, 'label': '3581473142512029', 'max_pred': '3531198454966560', 'max_ratio': 0.4375, 'matches': 0}
{'id': 37, 'label': '3561435212503000', 'max_pred': '3561044724604427', 'max_ratio': 0.4375, 'matches': 0}
Total matches: 0
[0.4375, 0.375, 0.3870967741935484, 0.5714285714285714, 0.34285714285714286, 0.33333333333333337, 0.5625, 0.33333333333333337, 0.3870967741935484, 0.3125, 0.5, 0.48275862068965514, 0.4516129032258065, 0.34285714285714286, 0.5, 0.5161290322580645, 0.5, 0.4375, 0.4285714285714286, 0.5161290322580645, 0.34285714285714286, 0.32258064516129037, 0.4375, 0.5, 0.3870967741935484, 0.4375, 0.5, 0.4516129032258065, 0.3125, 0.2857142857142857, 0.4375, 0.5806451612903225, 0.5625, 0.375, 0.4375, 0.4285714285714286, 0.5142857142857142, 0.4375, 0.3125, 0.375, 0.5, 0.2857142857142857, 0.3125, 0.4375, 0.375, 0.4, 0.375, 0.4, 0.375, 0.2857142857142857, 0.4516129032258065, 0.4375, 0.2857142857142857, 0.4285714285714286, 0.25, 0.27586206896551724, 0.3571428571428571, 0.4137931034482759, 0.3125, 0.3125, 0.4375, 0.375, 0.2857142857142857, 0.4666666666666667, 0.4375, 0.2068965517241379, 0.375, 0.32258064516129037, 0.375, 0.4375, 0.625, 0.4, 0.5, 0.3448275862068966, 0.4285714285714286, 0.4666666666666667, 0.3448275862068966, 0.5714285714285714, 0.3125, 0.3076923076923077, 0.3870967741935484, 0.33333333333333337, 0.46153846153846156, 0.4, 0.375, 0.3571428571428571, 0.4375, 0.375, 0.4, 0.4285714285714286, 0.4375, 0.2857142857142857, 0.4375, 0.4666666666666667, 0.4375, 0.375, 0.375, 0.5, 0.4, 0.375]
