{'id': 32, 'label': '3561001575175941', 'max_pred': '3561001575116855', 'max_ratio': 0.75, 'matches': 0}
{'id': 16, 'label': '3560648870916626', 'max_pred': '3560648570927095', 'max_ratio': 0.6875, 'matches': 0}
{'id': 14, 'label': '3536599271908954', 'max_pred': '3536598578906390', 'max_ratio': 0.625, 'matches': 0}
{'id': 2, 'label': '371511505520350', 'max_pred': '3515601071158530', 'max_ratio': 0.5806451612903225, 'matches': 0}
{'id': 34, 'label': '3581473142512029', 'max_pred': '3545600671905120', 'max_ratio': 0.5625, 'matches': 0}
{'id': 37, 'label': '3561435212503000', 'max_pred': '3561001575156900', 'max_ratio': 0.5625, 'matches': 0}
{'id': 44, 'label': '6011169220163049', 'max_pred': '3561001575116900', 'max_ratio': 0.5625, 'matches': 0}
{'id': 5, 'label': '30173407970341', 'max_pred': '3597594220903521', 'max_ratio': 0.5333333333333333, 'matches': 0}
{'id': 47, 'label': '4664934587716528035', 'max_pred': '3536594571906590', 'max_ratio': 0.5142857142857142, 'matches': 0}
{'id': 88, 'label': '4532725372189975217', 'max_pred': '3536594271909511', 'max_ratio': 0.5142857142857142, 'matches': 0}
{'id': 1, 'label': '6553751007408996', 'max_pred': '3518601041696850', 'max_ratio': 0.5, 'matches': 0}
{'id': 10, 'label': '503850402168', 'max_pred': '3561001575116855', 'max_ratio': 0.5, 'matches': 0}
{'id': 17, 'label': '3545600715427384', 'max_pred': '3536594571906512', 'max_ratio': 0.5, 'matches': 0}
{'id': 25, 'label': '2307599449762076', 'max_pred': '3597594920904892', 'max_ratio': 0.5, 'matches': 0}
{'id': 59, 'label': '3597595692866355', 'max_pred': '3597594920904212', 'max_ratio': 0.5, 'matches': 0}
{'id': 70, 'label': '3534174344152709', 'max_pred': '3536594271909511', 'max_ratio': 0.5, 'matches': 0}
{'id': 7, 'label': '30592211669726', 'max_pred': '3597594220904211', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 75, 'label': '30505794301780', 'max_pred': '3536594571906541', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 77, 'label': '30546925067742', 'max_pred': '3560648570927095', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 93, 'label': '30548478565643', 'max_pred': '3536594571906560', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 98, 'label': '30047637089652', 'max_pred': '3518600971098540', 'max_ratio': 0.4666666666666667, 'matches': 0}
{'id': 8, 'label': '213116050190443', 'max_pred': '3560648570927095', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 15, 'label': '345734524059803', 'max_pred': '3536594271906565', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 19, 'label': '374576962029077', 'max_pred': '3561001575156900', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 24, 'label': '213185011695972', 'max_pred': '3561001575116855', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 80, 'label': '378218083165854', 'max_pred': '3536598575168864', 'max_ratio': 0.4516129032258065, 'matches': 0}
{'id': 0, 'label': '3525609767017203', 'max_pred': '3517595271986395', 'max_ratio': 0.4375, 'matches': 0}
{'id': 6, 'label': '2255439101448510', 'max_pred': '3536594571906512', 'max_ratio': 0.4375, 'matches': 0}
{'id': 22, 'label': '2715501318705059', 'max_pred': '3561001575156920', 'max_ratio': 0.4375, 'matches': 0}
{'id': 23, 'label': '3518243454487278', 'max_pred': '3518600971928879', 'max_ratio': 0.4375, 'matches': 0}
{'id': 28, 'label': '5569516637636371', 'max_pred': '3536594571906512', 'max_ratio': 0.4375, 'matches': 0}
{'id': 38, 'label': '3509555729814114', 'max_pred': '3518601041188560', 'max_ratio': 0.4375, 'matches': 0}
Total matches: 0
[0.4375, 0.5, 0.5806451612903225, 0.3571428571428571, 0.34285714285714286, 0.5333333333333333, 0.4375, 0.4666666666666667, 0.4516129032258065, 0.375, 0.5, 0.3448275862068966, 0.25806451612903225, 0.2857142857142857, 0.625, 0.4516129032258065, 0.6875, 0.5, 0.2857142857142857, 0.4516129032258065, 0.34285714285714286, 0.32258064516129037, 0.4375, 0.4375, 0.4516129032258065, 0.5, 0.375, 0.3870967741935484, 0.4375, 0.3571428571428571, 0.375, 0.3870967741935484, 0.75, 0.375, 0.5625, 0.3571428571428571, 0.4, 0.5625, 0.4375, 0.32258064516129037, 0.4285714285714286, 0.3571428571428571, 0.4375, 0.4375, 0.5625, 0.34285714285714286, 0.3125, 0.5142857142857142, 0.25, 0.2142857142857143, 0.32258064516129037, 0.3125, 0.3571428571428571, 0.3571428571428571, 0.375, 0.27586206896551724, 0.4285714285714286, 0.4137931034482759, 0.3125, 0.5, 0.4375, 0.3870967741935484, 0.4, 0.4, 0.4375, 0.2068965517241379, 0.375, 0.32258064516129037, 0.3125, 0.375, 0.5, 0.4, 0.3870967741935484, 0.4137931034482759, 0.3571428571428571, 0.4666666666666667, 0.3448275862068966, 0.4666666666666667, 0.3125, 0.3571428571428571, 0.4516129032258065, 0.4, 0.4285714285714286, 0.3125, 0.375, 0.3571428571428571, 0.4375, 0.3125, 0.5142857142857142, 0.2857142857142857, 0.4375, 0.2857142857142857, 0.4375, 0.4666666666666667, 0.4375, 0.375, 0.4375, 0.375, 0.4666666666666667, 0.375]
