id,name,email,phone,credit_card,products,total_spent
0,Scott Hahn,kendra66@example.org,(423)945-0076,3525609767017203,"['White Seat', 'Wide Mess', 'Wide Trick', 'Any Birth', 'Huge Wave']",33
1,Brandi Nguyen,james71@example.org,+1-579-251-9426x418,6553751007408996,"['Environmental Grocery', 'Old Grocery', 'Past Vacation', 'White District', 'Simple Word']",896
2,Brandon Weiss,hhunter@example.org,(296)911-6116x20766,371511505520350,"['Smooth Chocolate', 'Commercial Pie', 'Other Trouble', 'Female Performance', 'Ok Performance']",72
3,Briana Smith,adkinskelly@example.net,6934227175,565574485290,"['Different Rice', 'Poor South', 'Other Tip', 'Formal Outside', 'Nearby South']",82
4,Kevin Moore,sonyabrock@example.com,433.824.5602x90611,4296451375806606570,"['Known Consequence', 'Few Instruction', 'Frequent Customer', 'Normal Damage', 'Representative Resource']",208
5,Tristan Davis,laurahill@example.net,+1-427-762-6623x758,30173407970341,"['Pure Bed', 'Main Tax', 'Aware Subject', 'Boring Pot', 'True Pot']",117
6,Lori Gardner,rogerpotter@example.org,+1-873-986-4014x00468,2255439101448510,"['Aware Stroke', 'General Wing', 'Angry Outside', 'Raw Quarter', 'Fair Tank']",542
7,Stephanie Gill,perrykeith@example.net,(698)638-1686,30592211669726,"['Massive Instruction', 'Fine Blue', 'Funny Outside', 'Guilty League', 'Illegal Breast']",573
8,Heather Kennedy,frobinson@example.net,857.207.4270x93057,213116050190443,"['Equivalent Union', 'Sure Credit', 'Female Wall', 'Pretty Credit', 'Frequent Candidate']",744
9,Brenda Berry,danielmurray@example.com,(925)766-2728x5232,6576337390603121,"['Sure Sign', 'Major Control', 'Aware Magazine', 'Embarrassed Contest', 'Loud Consequence']",372
10,Mark Thompson,cheyenne84@example.com,(270)288-6977x47354,503850402168,"['Negative Event', 'Formal Hearing', 'Other Candidate', 'Flat Difference', 'Illegal Game']",696
11,Lee Grant,shawnmorgan@example.org,+1-715-358-7540x803,4334448647536,"['Thick Speech', 'Typical Bed', 'Past Discussion', 'Thick Bedroom', 'Historical Bedroom']",45
12,Juan Smith,dhardy@example.com,377.811.1312x6379,180002373245560,"['Fine Expert', 'Realistic Game', 'Sharp Wing', 'Illegal Tip', 'Recent Task']",109
13,Donna Weaver,jenniferwaters@example.net,+1-578-544-3019x126,4886016419538433188,"['Ordinary Customer', 'Long Guest', 'Wide Magazine', 'Alone Value', 'Complete Jacket']",314
14,Cynthia Fuller,brandi20@example.net,555.590.2622x81237,3536599271908954,"['Long Hearing', 'Ordinary Writer', 'Any Appeal', 'Dear Outside', 'Relevant Appeal']",500
15,Adam Robinson,donnasimpson@example.net,585.214.2963x5460,345734524059803,"['Spiritual Fortune', 'Rich Mission', 'Raw Performance', 'Frequent Rock', 'Deep Word']",749
16,Heather Henry,johnsonbrady@example.org,+1-451-705-6237x6254,3560648870916626,"['Any Value', 'Wild Magazine', 'Informal Extent', 'Temporary Pride', 'Commercial Copy']",3
17,Lisa Stanley,christopheryoung@example.org,902.482.1691,3545600715427384,"['Funny Heart', 'Angry Guest', 'Sharp League', 'Spiritual Warning', 'Funny Resource']",364
18,Paul Morgan,ablackburn@example.com,748.970.8984x07616,501840494386,"['Valuable Imagination', 'Typical Damage', 'Past Dog', 'Old Guest', 'Left Chain']",528
19,William Bonilla,darrenholden@example.org,001-485-722-5090,374576962029077,"['Content Significance', 'Angry Union', 'Decent Stroke', 'Lucky Fuel', 'Thick Basis']",128
20,Adam Griffith,julie31@example.net,(642)682-1291x88966,4644888553620829651,"['Whole Chart', 'Flat Value', 'Smooth Vacation', 'Ok Session', 'Mental Manner']",475
21,Kristina Jenkins,rachelcox@example.org,+1-535-970-3934x26197,213132716644657,"['Obvious Camera', 'Funny Performance', 'Separate Joke', 'Ordinary Virus', 'Any Possession']",624
22,Eric Vasquez,james66@example.com,001-460-297-5929x45067,2715501318705059,"['Ago Software', 'Usual Bus', 'Simple Baseball', 'Individual Phone', 'Large Chart']",402
23,Victoria Hubbard,richard29@example.org,(448)702-2270x8086,3518243454487278,"['Negative Rope', 'Good Control', 'Any Contest', 'Alone Frame', 'Numerous Extent']",565
24,Mark Thompson,huangleslie@example.org,979.237.8252,213185011695972,"['Embarrassed Stroke', 'Few Baseball', 'Emotional Plane', 'Wise Chart', 'Sufficient Wing']",343
25,Kayla Archer,taylorsara@example.org,001-420-759-3060x4609,2307599449762076,"['Content Board', 'Content Time', 'Typical Speech', 'Lucky Outcome', 'Massive Application']",821
26,Travis Brown,martinezmichael@example.org,(290)357-8771x0864,2275170284006520,"['Active Combination', 'Tough Eye', 'Commercial Rice', 'Negative Afternoon', 'Critical Hearing']",967
27,Bridget Thompson,daniellesanchez@example.net,807-960-3345x23532,346902906220058,"['Past Virus', 'Open Performance', 'Loud Relief', 'Unfair Distance', 'Ok King']",522
28,Anthony Frost,kimberlynunez@example.com,5668953258,5569516637636371,"['Negative Activity', 'Wide Joke', 'Weird Trouble', 'Sharp Hall', 'Cute Basis']",406
29,Andrea King,nicole58@example.org,+1-497-834-0956x180,639066617973,"['Western Bed', 'Sad Harm', 'False Neck', 'Large Shelter', 'National Beach']",165
30,John Moore,kathleen15@example.com,(757)680-3429,6011486064635225,"['Typical Mother', 'Wrong Bug', 'Solid Safety', 'Official Son', 'Significant Politics']",112
31,Carol Jordan,pford@example.net,001-416-988-2223x230,375164258582684,"['Internal Situation', 'Young Beach', 'Young Love', 'Ok Bed', 'Emotional Town']",312
32,Thomas Gray,gfry@example.com,(361)622-0998x13998,3561001575175941,"['Brown Significance', 'Sufficient Session', 'Open Software', 'Wrong Dinner', 'Suitable Value']",682
33,Dr. Thomas Hoffman,deleonwilliam@example.org,2284693764,6011790619653876,"['Western Bus', 'Female Gap', 'Eastern Baseball', 'Conscious Bus', 'Deep Dinner']",40
34,Brian Whitaker,zpierce@example.com,923-885-2492x711,3581473142512029,"['Active Shelter', 'Helpful Town', 'True Discussion', 'Tough Time', 'Any Organization']",600
35,Adriana Atkins,gklein@example.com,+1-655-510-3374,675958511494,"['Individual Wing', 'Dear Event', 'Ordinary Inflation', 'Successful World', 'Ugly Instruction']",432
36,Jacob James,jesseboyle@example.net,001-775-846-9216x58735,4641741725325731662,"['Familiar Image', 'Helpful Girlfriend', 'Famous News', 'Ill Outside', 'Emotional Task']",475
37,Veronica Bray,emmashaw@example.com,858.201.7563,3561435212503000,"['Wide League', 'Wide Soil', 'Dependent Consequence', 'Relevant Award', 'Ordinary Spray']",391
38,Beverly Underwood,christopherowens@example.org,896.218.2336x67063,3509555729814114,"['Large Height', 'Scared Customer', 'Large Assignment', 'Free Assignment', 'Sad Collection']",279
39,Charles Barton,nicholasberry@example.net,936-788-1817x18772,4461985373576079,"['Enough Meeting', 'Loud Pride', 'Wrong Address', 'Severe Fat', 'External Setting']",740
40,Kristen Benjamin,pwalker@example.com,672.337.4579x2813,503850592760,"['Nice Love', 'Smart Pot', 'Poor Contact', 'Other Discussion', 'Formal Priority']",694
41,Jon Jackson,cobblaurie@example.com,001-583-952-8899x62979,567958300020,"['Cute Moment', 'Glad Performance', 'Particular District', 'Late Virus', 'Fresh Setting']",248
42,Michael Walker,atkinskatherine@example.com,+1-945-373-2585x7675,4126783500631694,"['Consistent Capital', 'Actual Tourist', 'Physical Stroke', 'Illegal Grocery', 'Funny Activity']",583
43,Jennifer Clark,yuelizabeth@example.net,+1-774-668-8119x7036,5139098527419748,"['Numerous Outcome', 'Numerous Organization', 'Late Entrance', 'Anxious Pot', 'Spiritual Salt']",899
44,Colleen Cruz,jeremy94@example.org,8257997187,6011169220163049,"['Slight Breast', 'Fresh Customer', 'Helpful Blue', 'Helpful Paper', 'Late Resource']",270
45,Gregg Brooks,julieweaver@example.org,888-302-7045x25198,4819270835183236398,"['Efficient Gap', 'Equivalent Plane', 'Various Session', 'Formal Union', 'Conscious Session']",715
46,Hannah Adams,terri83@example.org,252.648.0154x501,2225388571688617,"['Frequent Weakness', 'Content Fortune', 'Funny Setting', 'Content Fortune', 'Major Hall']",82
47,Julie Nguyen,john64@example.org,5044155840,4664934587716528035,"['Round Blue', 'Solid Heart', 'Slight West', 'Sorry Fat', 'Cute Politics']",723
48,Janet Allen,corey22@example.com,6588618374,6502853323422842,"['Remarkable Demand', 'Main Resource', 'Pregnant Protection', 'Pregnant Sea', 'General Power']",557
49,David Hoover,tschaefer@example.org,982.592.3840,630426863688,"['Current Value', 'Ago Setting', 'Physical District', 'Dear Setting', 'Better Distance']",538
50,Cameron Miller Jr.,smithjulie@example.org,001-267-246-5641x2933,213173729840924,"['Fine Wave', 'Actual Spray', 'Massive Outside', 'Sharp Imagination', 'Weird Click']",359
